292_1;Cluster_1;H99
293_2;Cluster_1;H99
294_1;Cluster_3;H100
295_1;Cluster_3;H101
296_2;Cluster_3;H102
297_2;Cluster_3;H103
298_2;Cluster_3;H104
299_2;Cluster_3;H96
300_2;Cluster_3;H100
301_2;Cluster_1;H95
302_1;Cluster_1;H95
303_1;Cluster_3;H105
304_2;Cluster_3;H106
305_2;Cluster_3;H103
306_1;Cluster_1;H107
307_1;Cluster_1;H97
308_2;Cluster_1;H99
309_1;Cluster_1;H94
310_2;Cluster_3;H103
311_1;Cluster_3;H108
312_1;Cluster_3;H108
313_2;Cluster_1;H95
314_2;Cluster_3;H109
315_1;Cluster_3;H110
316_2;Cluster_3;H111
317_1;Cluster_3;H112
318_2;Cluster_3;H109
319_1;Cluster_3;H113
320_2;Cluster_3;H113
321_1;Cluster_3;H114
322_2;Cluster_3;H115
323_1;Cluster_3;H116
324_2;Cluster_3;H117
325_2;Cluster_3;H109
326_2;Cluster_3;H109
327_1;Cluster_3;H109
328_2;Cluster_3;H118
329_2;Cluster_3;H116
330_1;Cluster_3;H110
331_2;Cluster_3;H109
332_2;Cluster_3;H109
334_1;Cluster_3;H119
335_2;Cluster_3;H120
336_2;Cluster_3;H121
337_2;Cluster_3;H116
338_1;Cluster_3;H122
340_1;Cluster_3;H115
341_1;Cluster_3;H123
342_2;Cluster_3;H116
343_2;Cluster_3;H124
344_1;Cluster_3;H125
345_2;Cluster_3;H126
346_1;Cluster_3;H127
347_1;Cluster_3;H128
348_1;Cluster_3;H101
349_1;Cluster_3;H129
350_2;Cluster_3;H130
351_2;Cluster_3;H131
352_2;Cluster_3;H132
353_2;Cluster_3;H133
354_1;Cluster_3;H134
355_2;Cluster_3;H131
356_1;Cluster_3;H135
357_2;Cluster_3;H136
358_2;Cluster_3;H130
359_1;Cluster_3;H135
360_1;Cluster_3;H135
361_1;Cluster_3;H137
363_1;Cluster_3;H138
364_2;Cluster_3;H139
365_1;Cluster_3;H140
366_2;Cluster_3;H130
367_2;Cluster_3;H141
368_1;Cluster_3;H142
369_2;Cluster_3;H128
370_1;Cluster_3;H143
371_2;Cluster_3;H140
372_1;Cluster_3;H130
373_1;Cluster_3;H130
374_2;Cluster_3;H144
376_1;Cluster_3;H144
377_2;Cluster_3;H144
378_1;Cluster_3;H144
379_2;Cluster_3;H145
380_2;Cluster_3;H144
382_4;Cluster_3;H146
383_2;Cluster_3;H144
384_1;Cluster_3;H144
385_2;Cluster_3;H83
386_1;Cluster_3;H144
387_2;Cluster_1;H147
388_2;Cluster_1;H147
389_2;Cluster_1;H147
390_2;Cluster_1;H147
391_2;Cluster_1;H147
392_2;Cluster_1;H147
393_1;Cluster_1;H147
395_2;Cluster_1;H147
396_1;Cluster_1;H147
397_2;Cluster_1;H147
398_1;Cluster_3;H145
399_2;Cluster_1;H147
400_2;Cluster_3;H148
401_2;Cluster_3;H149
402_1;Cluster_3;H150
403_1;Cluster_3;H151
404_2;Cluster_3;H148
405_1;Cluster_3;H148
406_1;Cluster_3;H150
407_1;Cluster_3;H152
408_1;Cluster_3;H151
409_1;Cluster_3;H153
410_2;Cluster_3;H150
411_1;Cluster_3;H150
414_2;Cluster_3;H148
415_1;Cluster_3;H150
416_1;Cluster_3;H148
417_1;Cluster_2;H154
418_1;Cluster_2;H155
419_1;Cluster_2;H156
420_2;Cluster_2;H157
421_2;Cluster_2;H154
422_1;Cluster_2;H156
423_2;Cluster_2;H154
424_2;Cluster_2;H157
425_1;Cluster_2;H156
426_2;Cluster_2;H155
427_2;Cluster_2;H154
428_1;Cluster_2;H156
429_1;Cluster_2;H154
431_2;Cluster_2;H157
432_1;Cluster_2;H155
434_1;Cluster_2;H158
436_2;Cluster_2;H159
437_1;Cluster_2;H160
438_2;Cluster_2;H160
439_1;Cluster_2;H161
440_1;Cluster_2;H161
441_1;Cluster_2;H160
442_1;Cluster_2;H160
443_1;Cluster_2;H160
444_2;Cluster_2;H160
445_1;Cluster_2;H160
446_1;Cluster_2;H160
448_1;Cluster_2;H160
449_1;Cluster_2;H160
450_1;Cluster_2;H160
451_2;Cluster_2;H160
452_1;Cluster_2;H160
453_1;Cluster_2;H160
454_1;Cluster_4;H34
455_1;Cluster_4;H34
456_1;Cluster_4;H22
457_2;Cluster_4;H6
458_2;Cluster_4;H162
459_2;Cluster_4;H34
460_1;Cluster_4;H163
461_1;Cluster_4;H164
462_2;Cluster_4;H34
464_2;Cluster_4;H165
465_1;Cluster_4;H34
466_2;Cluster_4;H6
467_1;Cluster_4;H34
468_2;Cluster_4;H6
469_1;Cluster_4;H6
470_1;Cluster_4;H165
471_1;Cluster_4;H166
472_2;Cluster_4;H164
473_2;Cluster_4;H167
474_2;Cluster_4;H163
475_1;Cluster_4;H162
478_1;Cluster_4;H34
479_1;Cluster_4;H163
480_2;Cluster_4;H168
482_2;Cluster_4;H169
483_1;Cluster_4;H6
484_2;Cluster_4;H170
485_2;Cluster_4;H171
486_2;Cluster_4;H172
487_2;Cluster_4;H173
488_1;Cluster_2;H174
489_2;Cluster_4;H172
490_2;Cluster_4;H172
491_2;Cluster_4;H175
492_1;Cluster_4;H176
493_2;Cluster_4;H177
495_2;Cluster_4;H8
497_2;Cluster_4;H178
498_2;Cluster_4;H165
499_1;Cluster_4;H165
500_1;Cluster_4;H165
