sample,group,value
305_2,Cluster_3,4630
306_1,Cluster_1,4630
307_1,Cluster_1,4630
308_2,Cluster_1,4630
309_1,Cluster_1,4630
310_2,Cluster_3,4630
311_1,Cluster_3,4630
312_1,Cluster_3,4630
313_2,Cluster_1,4630
314_2,Cluster_3,3200
315_1,Cluster_3,3200
316_2,Cluster_3,3200
317_1,Cluster_3,3200
318_2,Cluster_3,3200
319_1,Cluster_3,3200
320_2,Cluster_3,3200
321_1,Cluster_3,3200
322_2,Cluster_3,3200
323_1,Cluster_3,3200
324_2,Cluster_3,3200
325_2,Cluster_3,3200
326_2,Cluster_3,3200
327_1,Cluster_3,3200
328_2,Cluster_3,3200
329_2,Cluster_3,3200
330_1,Cluster_3,3200
331_2,Cluster_3,3200
332_2,Cluster_3,3200
334_1,Cluster_3,3200
335_2,Cluster_3,3200
336_2,Cluster_3,3200
337_2,Cluster_3,3200
338_1,Cluster_3,3200
340_1,Cluster_3,3200
341_1,Cluster_3,3200
342_2,Cluster_3,3200
343_2,Cluster_3,3200
344_1,Cluster_3,4273
345_2,Cluster_3,4273
346_1,Cluster_3,4273
347_1,Cluster_3,4273
348_1,Cluster_3,4273
349_1,Cluster_3,4273
350_2,Cluster_3,4273
351_2,Cluster_3,4273
352_2,Cluster_3,4273
353_2,Cluster_3,4273
354_1,Cluster_3,4273
355_2,Cluster_3,4273
356_1,Cluster_3,4273
357_2,Cluster_3,4273
358_2,Cluster_3,4273
359_1,Cluster_3,4273
360_1,Cluster_3,4273
361_1,Cluster_3,4273
363_1,Cluster_3,4273
364_2,Cluster_3,4273
365_1,Cluster_3,4273
366_2,Cluster_3,4273
367_2,Cluster_3,4273
368_1,Cluster_3,4273
369_2,Cluster_3,4273
370_1,Cluster_3,4273
371_2,Cluster_3,4273
372_1,Cluster_3,4273
373_1,Cluster_3,4273
374_2,Cluster_3,4582.2
376_1,Cluster_3,4582.2
377_2,Cluster_3,4582.2
378_1,Cluster_3,4582.2
379_2,Cluster_3,4582.2
380_2,Cluster_3,4582.2
382_4,Cluster_3,4582.2
383_2,Cluster_3,4582.2
384_1,Cluster_3,4582.2
385_2,Cluster_3,4582.2
386_1,Cluster_3,4582.2
387_2,Cluster_1,4582.2
388_2,Cluster_1,4582.2
389_2,Cluster_1,4582.2
390_2,Cluster_1,4582.2
391_2,Cluster_1,4582.2
392_2,Cluster_1,4582.2
393_1,Cluster_1,4582.2
395_2,Cluster_1,4582.2
396_1,Cluster_1,4582.2
397_2,Cluster_1,4582.2
398_1,Cluster_3,4582.2
399_2,Cluster_1,4582.2
400_2,Cluster_3,4500
401_2,Cluster_3,4500
402_1,Cluster_3,4500
403_1,Cluster_3,4500
404_2,Cluster_3,4500
405_1,Cluster_3,4500
406_1,Cluster_3,4500
407_1,Cluster_3,4500
408_1,Cluster_3,4500
409_1,Cluster_3,4500
410_2,Cluster_3,4500
411_1,Cluster_3,4500
414_2,Cluster_3,4500
415_1,Cluster_3,4500
416_1,Cluster_3,4500
417_1,Cluster_2,4460
418_1,Cluster_2,4460
419_1,Cluster_2,4460
420_2,Cluster_2,4460
421_2,Cluster_2,4460
422_1,Cluster_2,4460
423_2,Cluster_2,4460
424_2,Cluster_2,4460
425_1,Cluster_2,4460
426_2,Cluster_2,4460
427_2,Cluster_2,4460
428_1,Cluster_2,4460
429_1,Cluster_2,4460
431_2,Cluster_2,4460
432_1,Cluster_2,4460
434_1,Cluster_2,4460
436_2,Cluster_2,4460
437_1,Cluster_2,4700
438_2,Cluster_2,4700
439_1,Cluster_2,4700
440_1,Cluster_2,4700
441_1,Cluster_2,4700
442_1,Cluster_2,4700
443_1,Cluster_2,4700
444_2,Cluster_2,4700
445_1,Cluster_2,4700
446_1,Cluster_2,4700
448_1,Cluster_2,4700
449_1,Cluster_2,4700
450_1,Cluster_2,4700
451_2,Cluster_2,4700
452_1,Cluster_2,4700
453_1,Cluster_2,4700
454_1,Cluster_4,5200
455_1,Cluster_4,5200
456_1,Cluster_4,5200
457_2,Cluster_4,5200
458_2,Cluster_4,5200
459_2,Cluster_4,5200
460_1,Cluster_4,5200
461_1,Cluster_4,5200
462_2,Cluster_4,5200
464_2,Cluster_4,5200
465_1,Cluster_4,5200
466_2,Cluster_4,5200
467_1,Cluster_4,5200
468_2,Cluster_4,5200
469_1,Cluster_4,5200
470_1,Cluster_4,5200
471_1,Cluster_4,5200
472_2,Cluster_4,5200
473_2,Cluster_4,5200
474_2,Cluster_4,5200
475_1,Cluster_4,5200
478_1,Cluster_4,5200
479_1,Cluster_4,5200
480_2,Cluster_4,4560
482_2,Cluster_4,4560
483_1,Cluster_4,4560
484_2,Cluster_4,4560
485_2,Cluster_4,4560
486_2,Cluster_4,4560
487_2,Cluster_4,4560
488_1,Cluster_2,4560
489_2,Cluster_4,4560
490_2,Cluster_4,4560
491_2,Cluster_4,4560
492_1,Cluster_4,4560
493_2,Cluster_4,4560
495_2,Cluster_4,4560
497_2,Cluster_4,4560
498_2,Cluster_4,4560
499_1,Cluster_4,4560
500_1,Cluster_4,4560
